"Ticker","Nome","Negócios","Última (R$)","Variação"
"HYPE3","Hypera","1.525.700","23,57","-0,76%"
"SANB11","Banco Santander","1.488.200","27,31","+0,70%"
"ALPA4","Alpargatas","1.472.800","9,47","+0,21%"
"SBFG3","Grupo SBF","1.461.700","10,63","+1,43%"
"CURY3","Cury","1.420.500","33,39","+0,91%"
"SBSP3","Sabesp","1.368.900","119,38","+0,38%"
"AZTE3","AZT Energia","1.363.300","0,53","+0,00%"
"AZEV4","Azevedo & Travassos","1.351.000","0,53","+0,00%"
"SAPR11","Sanepar","1.323.900","33,79","-0,62%"
"MLAS3","Multilaser","1.293.300","0,95","+1,06%"
"ENJU3","Enjoei","1.257.800","0,99","-1,00%"
"SMTO3","São Martinho","1.242.200","17,00","+1,01%"
"FLRY3","Fleury","1.227.600","14,19","-0,14%"
"AMER3","Americanas","1.214.900","5,26","+3,14%"
"CPFE3","CPFL Energia","1.177.200","39,28","-1,01%"
"ISAE4","ISA Energia","1.172.800","22,45","+0,22%"
"JHSF3","JHSF","1.054.600","5,53","-0,18%"
"LIGT3","Light","1.048.400","5,93","-1,66%"
"JALL3","Jalles Machado","1.030.800","2,77","-1,42%"
"ZAMP3","Zamp","969.200","3,48","-0,29%"
"ARML3","Armac","927.000","3,92","-3,21%"
"EZTC3","EZTEC","911.500","14,01","+1,67%"
"MDNE3","Moura Dubeux","910.600","25,49","+2,21%"
"DASA3","Dasa","879.000","1,24","-0,80%"
"KEPL3","Kepler Weber","835.700","7,36","+0,14%"
"DXCO3","Dexco","823.800","5,71","+0,00%"
"TTEN3","3tentos","823.200","14,40","-0,35%"
"GRND3","Grendene","822.500","5,29","-0,19%"
"SEER3","Ser Educacional","803.500","8,74","-1,13%"
"FIQE3","Unifique","794.200","4,16","+0,97%"
"QUAL3","Qualicorp","788.600","1,84","+1,10%"
"ODPV3","Odontoprev","786.200","13,02","+0,15%"
"RCSL4","Recrusul","784.400","1,14","+0,88%"
"SYNE3","SYN","783.100","6,46","-1,67%"
"BRSR6","Banrisul","773.300","11,30","-0,70%"
"BPAN4","Banco Pan","753.900","7,78","-0,89%"
"SAPR4","Sanepar","733.500","6,50","-0,61%"
"PGMN3","Pague Menos","681.600","3,65","-1,35%"
"TUPY3","Tupy","676.400","14,82","+3,42%"
"MILS3","Mills","665.600","12,09","+0,00%"
"AMBP3","Ambipar","664.300","13,03","-2,76%"
"ITUB3","Itaú Unibanco","619.500","33,12","-0,69%"
"PLPL3","Plano&Plano","602.900","13,15","-0,45%"
"EGIE3","Engie","602.500","39,15","-0,48%"
"IRBR3","IRB Brasil RE","596.800","47,26","+0,47%"
"SEQL3","Sequoia Logística","589.300","0,98","+2,08%"
"CAML3","Camil Alimentos","530.100","4,55","+2,71%"
"FESA4","Ferbasa","523.800","6,22","-0,64%"
"PORT3","Wilson Sons","510.200","17,98","-0,06%"
"NEOE3","Neoenergia","501.000","26,69","+0,64%"
"ORVR3","Orizon","471.800","53,73","-1,10%"
"MYPK3","Iochpe-Maxion","469.900","13,54","+0,74%"
"MDIA3","M. Dias Branco","468.500","29,71","+2,13%"
"EVEN3","Even","466.200","7,35","-1,21%"
"ABCB4","Banco ABC Brasil","465.400","21,75","+0,46%"
"CSED3","Cruzeiro do Sul Educacional","461.500","4,64","-1,07%"
"OPCT3","OceanPact","451.400","6,53","-1,66%"
"GUAR3","Guararapes","443.700","8,59","+0,70%"
"TFCO4","Track & Field","423.600","15,80","-0,38%"
"FRAS3","Fras-le","408.800","23,00","+0,48%"
"AERI3","Aeris Energy","407.800","4,15","-0,24%"
"LOGG3","LOG CP","397.300","21,20","+1,00%"
"PNVL3","Dimed","363.000","10,07","+0,80%"
"MELK3","Melnick","346.300","3,74","+1,08%"
"ALPK3","Estapar","345.700","2,94","-1,67%"
"SOJA3","Boa Safra Sementes","344.100","10,34","+0,58%"
"MTRE3","Mitre Realty","335.600","3,49","+1,16%"
"WIZC3","Wiz Soluções","335.000","8,15","-0,24%"
"POSI3","Positivo","329.800","4,30","-0,23%"
"AZEV3","Azevedo & Travassos","328.700","0,50","+2,04%"
"SHUL4","Schulz","318.600","4,93","+0,82%"
"RANI3","Irani","315.000","7,67","+1,05%"
"TASA4","Taurus","311.100","4,72","+1,07%"
"BMGB4","Banco BMG","303.700","3,67","+1,10%"
"VTRU3","VITRUBREPCOM","298.100","10,30","-0,48%"
"USIM3","Usiminas","296.500","4,34","+0,00%"
"AMAR3","Lojas Marisa","279.000","1,19","-0,83%"
"PINE4","Banco Pine","277.200","6,35","-0,78%"
"UNIP6","Unipar","275.400","61,98","+1,03%"
"KLBN3","Klabin","259.500","3,71","+0,00%"
"PMAM3","Paranapanema","258.800","1,28","-3,76%"
"POMO3","Marcopolo","257.700","7,30","-0,14%"
"DESK3","Desktop","253.300","8,00","-2,91%"
"PRNR3","Priner","233.500","15,32","-0,39%"
"TRIS3","Trisul","232.000","6,41","+0,47%"
"ESPA3","Espaçolaser","221.300","1,13","+1,80%"
"MATD3","Mater Dei","216.700","4,67","+0,65%"
"JSLG3","JSL","216.200","5,37","-0,74%"
"LEVE3","Mahle Metal Leve","204.900","27,38","+0,81%"
"HBRE3","HBR Realty","199.800","4,27","+1,91%"
"SAPR3","Sanepar","196.700","7,60","-3,06%"
"PDGR3","PDG Realty","194.500","0,18","+0,00%"
"BRBI11","BR Partners","193.700","15,54","-0,64%"
"LPSB3","Lopes","166.100","1,52","+4,11%"
"AMOB3","Automob","165.200","12,05","+8,56%"
"BRST3","Brisanet","161.300","2,87","+2,14%"
"LAVV3","Lavvi Incorporadora","160.500","12,37","-0,88%"
"TOKY3","TOKY3","150.900","1,04","+1,96%"
"VLID3","Valid","145.500","20,85","-0,76%"
"ITSA3","Itaúsa","141.400","10,89","-1,00%"
"GFSA3","Gafisa","136.500","13,76","-0,51%"
"TGMA3","Tegma","134.900","36,76","+0,71%"
"BMOB3","Bemobi","127.200","19,62","-0,30%"
"AGRO3","BrasilAgro","121.200","20,61","-0,19%"
"LUPA3","Lupatech","118.700","1,18","+3,51%"
"BLAU3","Blau Farmacêutica","116.100","12,48","-1,03%"
"MEAL3","IMC Alimentação","113.400","1,29","-1,53%"
"ALLD3","Allied","112.100","8,00","+2,96%"
"PFRM3","Profarma","104.000","7,86","+1,55%"
"TAEE4","Taesa","102.500","11,32","+0,89%"
"GOAU3","Metalúrgica Gerdau","99.900","9,34","+2,30%"
"ETER3","Eternit","95.300","4,23","+1,68%"
"PTBL3","Portobello","92.400","3,88","+1,57%"
"CMIG3","Cemig","86.600","14,99","+0,33%"
"TCSA3","Tecnisa","81.500","1,49","-1,32%"
"TAEE3","Taesa","74.800","11,25","+0,00%"
"DMVF3","D1000 Varejo Farma","74.100","4,77","+5,53%"
"VITT3","Vittia","71.200","5,03","-0,40%"
"ROMI3","Indústrias ROMI","69.900","7,81","+1,03%"
"DEXP3","Dexxos","64.100","8,65","+0,82%"
"BIOM3","Biomm","61.600","6,44","-7,34%"
"RNEW4","Renova Energia","46.400","0,99","+1,02%"
"TECN3","Technos","45.600","6,61","-0,90%"
"SANB3","Banco Santander","45.200","12,96","-0,08%"
"IGTI3","Iguatemi","42.600","2,65","+1,15%"
"IGTI3","Jereissati Participações","42.600","2,65","+1,15%"
"RCSL3","Recrusul","42.400","1,64","+0,61%"
"COCE5","Coelce","40.900","29,05","-1,53%"
"SANB4","Banco Santander","40.300","14,41","+1,05%"
"OIBR4","Oi","38.000","7,45","+2,76%"
"AALR3","Alliança","36.900","6,18","+1,31%"
"EUCA4","Eucatex","36.600","17,49","+2,88%"
"VIVR3","Viver","36.600","0,64","+0,00%"
"INEP4","Inepar","33.600","1,50","-4,46%"
"WEST3","Westwing","33.300","5,59","+2,57%"
"INEP3","Inepar","33.200","1,72","+0,58%"
"BIED3","BIED3","32.800","3,26","+1,88%"
"CAMB3","Cambuci","32.600","9,32","-0,96%"
"OFSA3","Ourofino Saúde Animal","31.200","22,02","-0,90%"
"AGXY3","AgroGalaxy","29.000","5,67","-2,74%"
"BRAP3","Bradespar","28.600","14,92","+0,54%"
"GGBR3","Gerdau","28.400","14,96","+0,67%"
"FHER3","Fertilizantes Heringer","28.200","3,81","-2,81%"
"BEES4","Banestes","26.100","9,13","+3,16%"
"SHOW3","Time For Fun","23.700","5,96","-1,32%"
"CSUD3","CSU Cardsystem","23.300","17,80","+0,23%"
"BEES3","Banestes","23.100","9,01","+2,62%"
"BOBR4","Bombril","22.300","1,22","-1,61%"
"RNEW3","Renova Energia","22.100","1,01","+1,00%"
"CEBR3","CEB","21.000","23,50","+4,12%"
"TRAD3","Traders Club","18.900","6,81","-5,42%"
"WHRL3","Whirlpool","17.800","4,19","-1,18%"
"EPAR3","Embpar Participações","17.600","4,48","+0,90%"
